id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục và 15 phút để phản hồi ban đầu [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the information provided in Chunk 1 regarding the SLA for ticket P1, stating the initial response time of 15 minutes and the resolution time of 4 hours.",5,"Trả lời trực tiếp và đầy đủ câu hỏi về SLA xử lý ticket P1, cung cấp cả thời gian khắc phục và phản hồi ban đầu.",5,Retrieved: 1/1 expected sources,5,"The AI-generated answer includes all key points from the expected answer, stating both the initial response time of 15 minutes and the resolution time of 4 hours clearly.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer accurately reflects the information provided in the retrieved chunks, specifically regarding the timeframe for requesting a refund.",5,Trả lời trực tiếp và đầy đủ câu hỏi về thời gian khách hàng có thể yêu cầu hoàn tiền.,5,Retrieved: 1/1 expected sources,5,"The AI-generated answer is complete and matches the expected answer perfectly, including all key points without any omissions.",baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the requirement for Level 3 access approval as stated in Chunk 1, which specifies that approval is needed from the Line Manager, IT Admin, and IT Security.",5,"Trả lời trực tiếp và đầy đủ câu hỏi về việc phê duyệt để cấp quyền Level 3, liệt kê rõ các bên cần phê duyệt.",5,Retrieved: 1/1 expected sources,5,"The AI-generated answer includes all key points from the expected answer, specifically mentioning the need for approval from Line Manager, IT Admin, and IT Security for Level 3 access.",baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer correctly states that digital products are not refundable unless there is a manufacturer defect, which aligns with the information in the retrieved chunks. However, it does not explicitly mention the requirement to submit the refund request within 7 days, which is a crucial part of the conditions. Therefore, it is mostly faithful but lacks completeness.",5,"Trả lời trực tiếp và đầy đủ câu hỏi về việc hoàn tiền cho sản phẩm kỹ thuật số, nêu rõ điều kiện ngoại lệ.",5,Retrieved: 1/1 expected sources,3,"The AI-generated answer states that digital products are generally non-refundable but introduces an exception for manufacturer errors, which is not mentioned in the expected answer. It lacks the clear statement that digital products are an exception to the refund policy and does not specify the types of digital products that are included.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"The answer is completely grounded in the provided context, accurately reflecting the information about account lockout after 5 failed login attempts and the methods to unlock it.",5,"Trả lời trực tiếp và đầy đủ câu hỏi về số lần đăng nhập sai dẫn đến việc khóa tài khoản, đồng thời cung cấp thông tin về cách mở khóa tài khoản.",5,Retrieved: 1/1 expected sources,5,"The AI-generated answer includes all key points from the expected answer, providing the correct information about the account being locked after 5 failed login attempts and additional details on how to unlock the account.",baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra theo quy trình sau:

1. On-call engineer nhận alert hoặc ticket và xác nhận severity trong 5 phút.
2. Nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer.
3. Lead Engineer phân công engineer xử lý trong 10 phút.
4. Engineer cập nhật tiến độ lên ticket mỗi 30 phút và nếu cần hỗ trợ thêm, sẽ escalate ngay.

Sau khi khắc phục, engineer phải viết incident report trong vòng 24 giờ [2][3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the escalation process for P1 incidents as described in the retrieved chunks, including the steps for receiving alerts, confirming severity, automatic escalation, and the requirement for an incident report.",5,"Trả lời trực tiếp và đầy đủ câu hỏi về quy trình escalation trong sự cố P1, cung cấp các bước cụ thể và thời gian phản hồi.",5,Retrieved: 1/1 expected sources,5,"The AI-generated answer includes all key points from the expected answer, detailing the escalation process for P1 incidents comprehensively.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu có tên ""Approval Matrix for System Access"" [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer accurately reflects the information from Chunk 1, stating that the document is named 'Approval Matrix for System Access', which is completely grounded in the provided context.",5,Trả lời trực tiếp và đầy đủ câu hỏi bằng cách cung cấp tên tài liệu cụ thể liên quan đến Approval Matrix để cấp quyền hệ thống.,5,Retrieved: 1/1 expected sources,2,"The AI-generated answer provides the original name of the document but fails to mention its current name and the file reference, which are important details in the expected answer.",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành thời gian thử việc [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,The answer accurately reflects the information provided in Chunk 1 regarding remote work conditions for employees after the probation period.,5,Trả lời trực tiếp và đầy đủ câu hỏi về số ngày làm remote tối đa mỗi tuần.,5,Retrieved: 1/1 expected sources,4,The AI-generated answer includes the maximum number of remote days and the probation period but omits the important detail about needing Team Lead approval.,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,ERR-403-AUTH là lỗi liên quan đến việc không có quyền truy cập. Cách xử lý là tạo một yêu cầu cấp quyền thông qua ticket trên Jira và thực hiện quy trình phê duyệt theo các bước đã được quy định [1].,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"The answer accurately reflects the process of creating an access request ticket on Jira and mentions the approval process, which is consistent with the steps outlined in Chunk 1.",4,"The answer correctly identifies ERR-403-AUTH as an access-related error and provides a method for resolution. However, it could benefit from additional details about the nature of the error and more context on the approval process.",,No expected sources,2,"The AI-generated answer provides a specific interpretation of the error and a method for resolution, but it fails to mention the lack of documentation and the suggestion to contact IT Helpdesk, which are important aspects of the expected answer.",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Không có thông tin nào trong bối cảnh đề cập đến quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Do đó, tôi không biết.","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",4,"The answer correctly states that there is no information about an emergency refund process for VIP customers in the provided context. However, it could be considered slightly unfaithful as it does not acknowledge the general refund process outlined in the chunks.",1,The answer does not address the user's query about the emergency refund process for VIP customers at all. It states a lack of information instead of providing any relevant details or guidance.,5,Retrieved: 1/1 expected sources,2,"The AI-generated answer does not address the standard refund process or the timeframe for refunds, which are key points in the expected answer. It only states a lack of information, which does not provide a complete response to the user's query.",baseline_dense
